"Metadata_Series","Metadata_T","ImageNumber","Intensity_MeanIntensity_pulse","Metadata_Experiment","RealTime","Stim_All_Ch","Stim_All_S"
1,45,227,0.00625906791538,"20170629_10min_FGF250_25_2-5_0-25_coll",90,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,46,228,0.00617401581258,"20170629_10min_FGF250_25_2-5_0-25_coll",92,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,47,229,0.00627864478156,"20170629_10min_FGF250_25_2-5_0-25_coll",94,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,48,230,0.00599229894578,"20170629_10min_FGF250_25_2-5_0-25_coll",96,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,49,231,0.00614679651335,"20170629_10min_FGF250_25_2-5_0-25_coll",98,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,50,232,0.00628394633532,"20170629_10min_FGF250_25_2-5_0-25_coll",100,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,51,233,0.00629419554025,"20170629_10min_FGF250_25_2-5_0-25_coll",102,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,52,234,0.00630654580891,"20170629_10min_FGF250_25_2-5_0-25_coll",104,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,53,235,0.00632222928107,"20170629_10min_FGF250_25_2-5_0-25_coll",106,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,54,236,0.00618263334036,"20170629_10min_FGF250_25_2-5_0-25_coll",108,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,55,237,0.00618853466585,"20170629_10min_FGF250_25_2-5_0-25_coll",110,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,56,238,0.00615245709196,"20170629_10min_FGF250_25_2-5_0-25_coll",112,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,57,239,0.0063284644857,"20170629_10min_FGF250_25_2-5_0-25_coll",114,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,58,240,0.00619602389634,"20170629_10min_FGF250_25_2-5_0-25_coll",116,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,59,241,0.00634701456875,"20170629_10min_FGF250_25_2-5_0-25_coll",118,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,60,242,0.00622221082449,"20170629_10min_FGF250_25_2-5_0-25_coll",120,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,61,243,0.00626355037093,"20170629_10min_FGF250_25_2-5_0-25_coll",122,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,62,244,0.00626875460148,"20170629_10min_FGF250_25_2-5_0-25_coll",124,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,63,245,0.00631345203146,"20170629_10min_FGF250_25_2-5_0-25_coll",126,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,64,246,0.00564248580486,"20170629_10min_FGF250_25_2-5_0-25_coll",128,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,65,247,0.00625910889357,"20170629_10min_FGF250_25_2-5_0-25_coll",130,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,66,248,0.00629666866735,"20170629_10min_FGF250_25_2-5_0-25_coll",132,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,67,249,0.00625931518152,"20170629_10min_FGF250_25_2-5_0-25_coll",134,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
